name,rating,numberofbik,WatchthisMonth,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,Converted_Kosher,Price_Convert
1,8.6,1467,1323,0,0,1,0,0,1,1,0,0,0,0,1,0,1
2,8.2,4857,284,0,0,1,0,0,1,0,0,0,1,0,1,1,1
3,7.8,495,200,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,7.5,746,210,0,1,0,0,0,0,1,0,1,0,0,0,1,1
5,7.8,4301,417,1,0,0,0,0,1,1,0,0,1,0,1,0,1
6,7.7,521,395,1,1,0,0,0,0,1,0,0,1,0,1,1,1
7,7.6,316,345,1,0,0,0,0,0,0,0,0,1,0,0,0,1
8,7.8,557,121,0,0,0,0,0,0,0,0,1,1,0,1,0,1
9,8.2,1217,1536,0,0,1,0,0,0,0,0,0,1,0,0,1,1
11,8.4,2667,274,0,0,0,0,0,0,0,0,1,0,0,1,1,1
12,7.6,2599,675,1,0,0,0,0,1,1,0,0,1,0,1,0,1
14,8.3,719,434,1,1,0,0,0,0,0,0,0,1,0,1,1,1
15,8.3,7,67,0,0,1,0,0,0,0,0,0,1,0,0,1,1
16,7.8,1701,244,0,1,0,0,0,0,0,0,1,1,0,1,1,1
17,8.0,636,724,0,0,0,0,0,1,0,0,1,1,0,1,0,1
18,8.2,2138,1253,0,1,0,0,0,1,1,0,1,0,0,0,0,1
19,9.1,436,465,0,1,0,0,0,0,0,0,1,1,0,1,1,1
21,7.8,186,255,0,0,1,0,0,0,0,0,0,0,0,0,1,1
23,8.6,18,316,1,0,0,0,0,0,0,0,0,1,0,0,0,1
25,8.6,2651,743,0,0,1,0,0,1,1,0,0,0,0,1,0,1
27,7.6,77,1811,1,0,0,0,0,0,0,0,0,1,0,1,1,1
28,7.8,1112,287,1,0,1,0,0,0,0,0,0,1,0,1,1,1
30,8.8,2380,1028,0,0,1,0,0,0,0,0,0,1,1,1,1,1
31,8.4,525,425,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,8.7,1240,557,0,0,1,0,0,0,0,0,0,1,0,1,1,1
33,8.5,1625,438,0,1,0,0,0,1,0,0,1,1,0,1,0,1
34,7.9,840,205,0,1,0,0,0,1,1,0,1,1,0,1,1,1
35,8.2,504,122,0,0,1,0,0,1,1,0,0,0,0,0,1,2
36,7.0,116,180,0,0,1,0,0,1,1,0,0,1,0,1,1,1
37,7.6,1121,240,0,0,0,0,0,0,0,0,1,1,0,1,1,1
38,8.1,360,342,1,0,1,0,0,1,1,0,0,1,0,1,1,1
39,8.9,264,249,1,0,0,0,0,0,0,0,0,1,0,1,0,0
40,8.9,374,307,0,1,0,0,0,1,1,0,0,1,0,1,1,1
41,8.5,1894,611,0,0,0,0,0,1,1,0,1,1,0,1,0,1
42,8.4,2270,759,0,0,1,0,0,0,0,0,0,0,0,0,0,0
