name,rating,numberofbik,price,WatchthisMonth,Kosher,Address,asian restaurant,italian restaurant,gril restaurant,mediterranean restaurant,chef restaurant,sitting outside,smoke area,sea food,coffe shop,delivery,burger shop,online order,City,Street,Converted_Kosher,Price_Convert
מול הים,8.6,1467,מחיר סביר,1323,לא כשר,"קניון עין התכלת, אזור ים המלח",0,0,1,0,0,1,1,0,0,0,0,1,אזור ים המלח,קניון עין התכלת,0,1
פילאף פוד בר,8.2,4857,מחיר סביר,284,כשר,"חרש 3, הרצליה",0,0,1,0,0,1,0,0,0,1,0,1,הרצליה,חרש 3,1,1
הקבב העירקי שיפודי דודי,7.8,495,מחיר זול,200,כשר,"השיחרור 16, טירת כרמל",0,0,1,0,0,0,0,0,0,0,0,0,טירת כרמל,השיחרור 16,1,0
ביגה,7.5,746,מחיר סביר,210,כשר,"קניון חיפה, חיפה",0,1,0,0,0,0,1,0,1,0,0,0,חיפה,קניון חיפה,1,1
ג'פניקה,7.8,4301,מחיר סביר,417,לא כשר,"ביג קריות, חיפה",1,0,0,0,0,1,1,0,0,1,0,1,חיפה,ביג קריות,0,1
ג'פניקה,7.7,521,מחיר סביר,395,כשר,"קניון עזריאלי מודיעין, מודיעין מכבים רעות",1,1,0,0,0,0,1,0,0,1,0,1,מודיעין מכבים רעות,קניון עזריאלי מודיעין,1,1
Sushi House,7.6,316,מחיר סביר,345,לא כשר,"קניון פרץ סנטר, דימונה",1,0,0,0,0,0,0,0,0,1,0,0,דימונה,קניון פרץ סנטר,0,1
קפה לנדוור,7.8,557,מחיר סביר,121,לא כשר,"עופר גרנד קניון, חיפה",0,0,0,0,0,0,0,0,1,1,0,1,חיפה,עופר גרנד קניון,0,1
המקסיקני,8.2,1217,מחיר סביר,1536,כשר,"קק""ל 43, באר שבע",0,0,1,0,0,0,0,0,0,1,0,0,באר שבע,"קק""ל 43",1,1
טושה,8.5,147,מחיר סביר,846,כשר,"אחוזה 124, רעננה (מרכז פוזין)",0,0,0,1,1,1,1,0,0,1,1,1,רעננה ,אחוזה 124,1,1
קפה קפה,8.4,2667,מחיר סביר,274,כשר,"מבנה באר שבע, באר שבע",0,0,0,0,0,0,0,0,1,0,0,1,באר שבע,מבנה באר שבע,1,1
ריבר,7.6,2599,מחיר סביר,675,לא כשר,"המדע 6, רחובות",1,0,0,0,0,1,1,0,0,1,0,1,רחובות,המדע 6,0,1
פטרה,8.2,5127,מחיר סביר,747,לא כשר,"מפקורה 4, אשדוד",0,0,1,0,0,1,1,1,0,1,0,1,אשדוד,מפקורה 4,0,1
ג'פניקה,8.3,719,מחיר סביר,434,כשר,"דרך אבא הלל 301, רמת גן (קניון איילון)",1,1,0,0,0,0,0,0,0,1,0,1,רמת גן ,דרך אבא הלל 301,1,1
פוטטעוף,8.3,7,מחיר סביר,67,כשר,"תאנה, חריש",0,0,1,0,0,0,0,0,0,1,0,0,חריש,תאנה,1,1
קפה לנדוור,7.8,1701,מחיר סביר,244,כשר,"דרך ישראל בר יהודה 111, חיפה",0,1,0,0,0,0,0,0,1,1,0,1,חיפה,דרך ישראל בר יהודה 111,1,1
לנדוור רעות,8,636,מחיר סביר,724,לא כשר,"מרכז נופש וספורט, מודיעין מכבים רעות",0,0,0,0,0,1,0,0,1,1,0,1,מודיעין מכבים רעות,מרכז נופש וספורט,0,1
קפה שקד,8.2,2138,מחיר סביר,1253,לא כשר,"אלוף דוד 40, רמת גן",0,1,0,0,0,1,1,0,1,0,0,0,רמת גן,אלוף דוד 40,0,1
אורלי סיטבון פטיסרי,9.1,436,מחיר סביר,465,כשר,"יצחק שדה 7, נהריה",0,1,0,0,0,0,0,0,1,1,0,1,נהריה,יצחק שדה 7,1,1
